timestamp,exchange,event_type,route,surface_perc,real_perc,net_perc,filled_fraction
2026-05-19T20:00:45.383,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.29980022,,,
2026-05-19T20:01:26.286,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.76083330,0.76083330,0.36083330,
2026-05-19T20:01:26.286,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.42298302,0.42298302,0.02298302,
2026-05-19T20:01:26.339,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.00000000,,,
2026-05-19T20:01:26.339,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.00000000,,,
2026-05-19T20:02:15.945,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.40315010,,,0.0309
2026-05-19T20:02:16.110,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.00000000,,,
2026-05-19T20:03:50.017,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.75017167,,,0.7375
2026-05-19T20:03:50.017,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.66976395,0.66976395,0.26976395,
2026-05-19T20:03:50.068,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.00000000,,,
2026-05-19T20:03:50.068,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.00000000,,,
2026-05-19T20:04:08.094,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.53443067,,,0.7675
2026-05-19T20:04:08.145,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.00000000,,,
2026-05-19T20:04:10.964,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.31068069,,,0.0040
2026-05-19T20:04:11.066,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.00000000,,,
2026-05-19T20:06:27.383,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.42554710,,,0.0811
2026-05-19T20:06:27.435,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.00000000,,,
2026-05-19T20:20:09.646,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.31990116,,,0.7263
2026-05-19T20:20:09.697,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.00000000,,,
2026-05-19T20:21:38.617,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.38035791,,,0.4722
2026-05-19T20:21:38.617,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.50587959,,,0.0974
2026-05-19T20:21:38.667,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.00000000,,,
2026-05-19T20:21:38.667,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.00000000,,,
